name,phone,nextOpen,Open,firstValidAppointment,appointmentsEnable,imageUrl,rating,reviewCount,path,distance
Central Ave Automotive,(253) 292-9023,Opens 8 AM Mon,Closed," Fri, Apr 28 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/3xqvc4j8853bms88igy1lxgzqmti,4.5,174,/auto-repair-near-me/auto-repair-in-kent-washington/central-ave-automotive#reviews-tab,2.02
Good Neighbor Tire and Auto - Renton,(425) 386-6256,Opens 7:30 AM Mon,Closed,,False,https://production-assets.repairpal.com/packs/f5e12b873b783c087703.png,4.8,21,/auto-repair-near-me/auto-repair-in-renton-washington/good-neighbor-tire-and-auto-renton#reviews-tab,6.02
T-Auto Repair,(206) 565-1594,Opens 8 AM Mon,Closed," Tue, Apr 11 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/wydj1lxpqzwdayctwep5z0tuta3g,4.3,51,/auto-repair-near-me/auto-repair-in-burien-washington/t-auto-repair#reviews-tab,6.67
Jeff's Auto Repair - Renton,(844) 347-8368,Opens 7:30 AM Mon,Closed," Fri, Apr 21 at 7:30 am",True,https://storage.googleapis.com/rp-production-public-content/nc03p6l1sn5x2smxe438vb61hlab,4.6,263,/auto-repair-near-me/auto-repair-in-renton-washington/jeffs-auto-repair-renton-2#reviews-tab,6.87
Greg's Japanese - Federal Way #8007,(253) 367-2818,Opens 7:30 AM Mon,Closed," Mon, Apr 17 at 7:30 am",True,https://storage.googleapis.com/rp-production-public-content/pnkatev08xmgrtj6bljvgmkbjmzc,4.5,254,/auto-repair-near-me/auto-repair-in-federal-way-washington/gregs-japanese-federal-way-8007#reviews-tab,8.04
Greg's Japanese - Renton,(425) 470-5802,Opens 7:30 AM Mon,Closed," Tue, Apr 11 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/o5kl92wva4b74qaifkl20zwi2zqn,4.4,36,/auto-repair-near-me/auto-repair-in-renton-washington/gregs-japanese-renton#reviews-tab,8.38
Dan's Auto Repair,(206) 278-1611,Opens 8:30 AM Mon,Closed," Tue, Apr 11 at 9 am",True,https://storage.googleapis.com/rp-production-public-content/dgpgzwt0x34t4x04ujvee2ywa0px,4.9,15,/auto-repair-near-me/auto-repair-in-seattle-washington/dans-auto-repair-in-seattle-4#reviews-tab,8.79
Southend Auto Care,(253) 656-0344,Opens 8 AM Mon,Closed," Tue, Apr 11 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/20wp23q0wylxmtnkveqivtvjy7ik,4.7,30,/auto-repair-near-me/auto-repair-in-tacoma-washington/southend-auto-care#reviews-tab,10.25
Good Neighbor Tire and Auto - Seattle,(206) 578-4065,Opens 7:30 AM Mon,Closed,,False,https://production-assets.repairpal.com/packs/f5e12b873b783c087703.png,4.5,23,/auto-repair-near-me/auto-repair-in-seattle-washington/good-neighbor-tire-and-auto-seattle#reviews-tab,13.24
A&M Auto Repair,(425) 585-2426,Opens 8 AM Mon,Closed," Thu, Apr 13 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/wivbvs3tlay9grq2tq1xsq433t3f,4.2,45,/auto-repair-near-me/auto-repair-in-bellevue-washington/a-and-m-auto-repair#reviews-tab,13.76
LBR Auto Repair,(425) 318-3489,Opens 8 AM Mon,Closed," Wed, Apr 12 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/wx8luplef3o975iros4sg3eyukua,4.6,42,/auto-repair-near-me/auto-repair-in-bellevue-washington/lbr-auto-repair-in-bellevue#reviews-tab,16.13
Autologic,(425) 529-5512,Opens 7:30 AM Mon,Closed," Wed, Apr 12 at 7:30 am",True,https://storage.googleapis.com/rp-production-public-content/67pwhcf9wus7e5yq1oartj9ot7jv,4.6,29,/auto-repair-near-me/auto-repair-in-bellevue-washington/autologic#reviews-tab,16.21
Goodyear Tire And Automotive,(253) 444-2793,Opens 7:30 AM Mon,Closed," Mon, Apr 10 at 7:30 am",True,https://storage.googleapis.com/rp-production-public-content/wp4213v2vuiqai6awnflf813s2wv,4.5,453,/auto-repair-near-me/auto-repair-in-puyallup-washington/goodyear-tire-and-automotive-in-puyallup#reviews-tab,17.21
Precision Tune Automobile Care - 270 - 27,(253) 342-4710,Opens 8:30 AM Mon,Closed," Mon, Apr 10 at 8:30 am",True,https://storage.googleapis.com/rp-production-public-content/1w9trudzc0lxt5mdpv6u4nld1zyh,4.7,193,/auto-repair-near-me/auto-repair-in-gig-harbor-washington/precision-tune-automobile-care-270-27#reviews-tab,17.24
Greg's Japanese - Puyallup,(253) 466-7287,Opens 7:30 AM Mon,Closed," Fri, Apr 21 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/g5hbq0lwc21wvetlje0a9vyvkjaq,4.7,103,/auto-repair-near-me/auto-repair-in-puyallup-washington/gregs-japanese-puyallup#reviews-tab,17.72
ZahnTech Automotive Service,(425) 437-2567,Opens 8 AM Mon,Closed," Thu, Apr 20 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/2fwfklqetmufc0dy7rgplx650jhv,4.8,266,/auto-repair-near-me/auto-repair-in-redmond-washington/zahn-tech-automotive-service#reviews-tab,20.47
Precision Tune Auto Care - 270-48,(253) 285-1139,Opens 8 AM Mon,Closed," Sat, Apr 15 at 8:30 am",True,https://storage.googleapis.com/rp-production-public-content/b9aj0fklh2jx9z1kr6idns0acizd,4.3,617,/auto-repair-near-me/auto-repair-in-lakewood-washington/precision-tune-auto-care-270-48#reviews-tab,20.51
Jeff's Auto Repair - Seattle Sandpoint,(855) 966-0749,Opens 7:30 AM Mon,Closed," Wed, Apr 12 at 7:30 am",True,https://storage.googleapis.com/rp-production-public-content/hg0b2t05e39x24ou4xmbjlgpnn7w,4.7,189,/auto-repair-near-me/auto-repair-in-seattle-washington/jeffs-auto-repair-seattle-sandpoint#reviews-tab,21.19
TLC AutoCare,(425) 276-6474,Opens 6 AM Mon,Closed," Thu, Apr 13 at 6 am",True,https://storage.googleapis.com/rp-production-content/xokqi826xn65l78cr6vs303wu6hb?GoogleAccessId=production-db%40production-225218.iam.gserviceaccount.com&Expires=1680716474&Signature=dviXzHX5Z9J%2FnJ8%2BM3RO9c%2BH%2BpALQ0rGrqc2c1ugWdidaGbPdkJHL9T6y%2B7lMsK4p3bKuDV4CUkEP%2B7TlwrPnhRjt%2Bbzow7AcpiUqemEtT2TCeXlzdQOqrreTYgzUymU2b15k11E8%2BFjIS8U2ui0LGv%2FlEpx2Gwg%2Fi217LGzFihM8ROSXJ3xJuSDhV84jbmHzmoMMUsKoD3llVok%2FrcUYLaSf%2BteFd%2B9gjaKftb5P%2BHup2Co6CVMBm8tkJbnKn9VAVlzIA%2FJeS1bM5wSDvq6wVY%2BjsTwGJL7%2FdDMJWNI65XwM3FbsE0wru%2BoNHfYpWcOCtaksCNNcZ9GHPdTKQW52g%3D%3D&response-content-disposition=inline%3B+filename%3D%22TLC+AutoCare+%25282%2529.png%22%3B+filename%2A%3DUTF-8%27%27TLC%2520AutoCare%2520%25282%2529.png&response-content-type=image%2Fpng,4.7,306,/auto-repair-near-me/auto-repair-in-kirkland-washington/tlc-auto-care#reviews-tab,21.66
"Northwest Automotive, Inc.",(206) 800-7053,Opens 8 AM Mon,Closed,,False,https://storage.googleapis.com/rp-production-public-content/1n79tmansw7yev0d9hop13ti8v8v,4.7,18,/auto-repair-near-me/auto-repair-in-seattle-washington/northwest-automotive-inc#reviews-tab,22.55
Graham Auto Repair,(253) 259-2393,Opens 8 AM Mon,Closed," Fri, Apr 28 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/0ookdu8j5lv6e93l6z9sq0cu3sd4,4.3,22,/auto-repair-near-me/auto-repair-in-graham-washington/graham-auto-repair-2#reviews-tab,23.66
LK's Auto Repair,(844) 342-6647,Opens 7:30 AM Mon,Closed," Wed, Apr 12 at 8:30 am",True,https://storage.googleapis.com/rp-production-public-content/l6nv0bm5pn4sxdp3gn852npzuypm,4.5,360,/auto-repair-near-me/auto-repair-in-bremerton-washington/lks-auto-repair-in-bremerton-2#reviews-tab,23.9
Shoreline Auto Clinic,(206) 594-2594,Opens 8:30 AM Mon,Closed," Tue, Apr 11 at 9 am",True,https://storage.googleapis.com/rp-production-public-content/c4o6k7or9pr4x1nhpdbyin8u814t,4.3,19,/auto-repair-near-me/auto-repair-in-shoreline-washington/shoreline-auto-clinic#reviews-tab,24.79
Village Transmission & Auto Clinic,(425) 279-7065,Opens 8 AM Mon,Closed," Mon, Apr 17 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/1ebua7vhgh7qg8n3p011sa272uce,4.7,543,/auto-repair-near-me/auto-repair-in-edmonds-washington/village-transmission-and-auto-clinic#reviews-tab,27.3
